  Test Start Time: Wed Aug 23 16:29:44 2017
-----------------------------------------
Testcase                       Result     Exit Value
remap_file_pages02             FAIL       1    
removexattr01                  PASS       0    
removexattr02                  PASS       0    
rename01                       PASS       0    
rename01A                      PASS       0    
rename02                       PASS       0    
rename03                       PASS       0    
rename04                       PASS       0    
rename05                       PASS       0    
rename06                       PASS       0    
rename07                       PASS       0    
rename08                       PASS       0    
rename09                       PASS       0    
rename10                       PASS       0    
rename11                       CONF       32   
rename12                       PASS       0    
rename13                       PASS       0    
rename14                       PASS       0    
renameat01                     CONF       32   
renameat201                    CONF       32   
renameat202                    CONF       32   
request_key01                  CONF       32   
request_key02                  CONF       32   
rmdir01                        PASS       0    
rmdir02                        CONF       32   
rmdir03                        PASS       0    
rmdir03A                       PASS       0    
rmdir04                        PASS       0    
rmdir05                        CONF       32   
rt_sigaction01                 PASS       0    
rt_sigaction02                 PASS       0    
rt_sigaction03                 PASS       0    
rt_sigprocmask01               PASS       0    
rt_sigprocmask02               PASS       0    
rt_sigqueueinfo01              FAIL       1    
rt_sigsuspend01                PASS       0    
sbrk01                         PASS       0    
sbrk02                         PASS       0    
sched_get_priority_max01       PASS       0    
sched_get_priority_max02       PASS       0    
sched_get_priority_min01       PASS       0    
sched_get_priority_min02       PASS       0    
sched_getparam01               PASS       0    
sched_getparam02               PASS       0    
sched_getparam03               PASS       0    
sched_rr_get_interval01        FAIL       1    
sched_rr_get_interval02        FAIL       1    
sched_rr_get_interval03        FAIL       1    
sched_setparam01               PASS       0    
sched_setparam02               PASS       0    
sched_setparam03               PASS       0    
sched_setparam04               PASS       0    
sched_setparam05               PASS       0    
sched_getscheduler01           PASS       0    
sched_getscheduler02           PASS       0    
sched_setscheduler01           PASS       0    
sched_setscheduler02           PASS       0    
sched_yield01                  PASS       0    
sched_setaffinity01            PASS       0    
sched_getaffinity01            PASS       0    
sched_setattr01                FAIL       1    
sched_getattr01                FAIL       1    
sched_getattr02                FAIL       1    
select01                       PASS       0    
select02                       PASS       0    
select03                       PASS       0    
select04                       PASS       0    
semctl01                       FAIL       2    
semctl02                       PASS       0    
semctl03                       PASS       0    
semctl04                       PASS       0    
semctl05                       PASS       0    
semctl06                       PASS       0    
semctl07                       PASS       0    
semget01                       PASS       0    
semget02                       PASS       0    
semget03                       PASS       0    
semget05                       PASS       0    
semget06                       PASS       0    
semop01                        PASS       0    
semop02                        PASS       0    
semop03                        PASS       0    
semop04                        PASS       0    
semop05                        PASS       0    
send01                         PASS       0    
sendfile02                     PASS       0    
sendfile02_64                  PASS       0    
sendfile03                     PASS       0    
sendfile03_64                  PASS       0    
sendfile04                     PASS       0    
sendfile04_64                  PASS       0    
sendfile05                     PASS       0    
sendfile05_64                  PASS       0    
sendfile06                     PASS       0    
sendfile06_64                  PASS       0    
sendfile07                     PASS       0    
sendfile07_64                  PASS       0    
sendfile08                     PASS       0    
sendfile08_64                  PASS       0    
sendfile09                     PASS       0    
sendfile09_64                  PASS       0    
sendmsg01                      PASS       0    
sendmsg02                      PASS       0    
sendto01                       PASS       0    
setdomainname01                PASS       0    
setdomainname02                PASS       0    
setdomainname03                PASS       0    
setfsgid01                     PASS       0    
setfsgid01_16                  CONF       32   
setfsgid02                     PASS       0    
setfsgid02_16                  CONF       32   
setfsgid03                     PASS       0    
setfsgid03_16                  CONF       32   
setfsuid01                     PASS       0    
setfsuid01_16                  CONF       32   
setfsuid02                     PASS       0    
setfsuid02_16                  CONF       32   
setfsuid03                     PASS       0    
setfsuid03_16                  CONF       32   
setfsuid04                     PASS       0    
setfsuid04_16                  CONF       32   
setgid01                       PASS       0    
setgid01_16                    CONF       32   
setgid02                       PASS       0    
setgid02_16                    CONF       32   
setgid03                       PASS       0    
setgid03_16                    CONF       32   
setegid01                      PASS       0    
setegid02                      PASS       0    
sgetmask01                     CONF       32   
setgroups01                    PASS       0    
setgroups01_16                 CONF       32   
setgroups02                    PASS       0    
setgroups02_16                 CONF       32   
setgroups03                    PASS       0    
setgroups03_16                 CONF       32   
setgroups04                    PASS       0    
setgroups04_16                 CONF       32   
sethostname01                  PASS       0    
sethostname02                  PASS       0    
sethostname03                  PASS       0    
setitimer01                    PASS       0    
setitimer02                    PASS       0    
setitimer03                    PASS       0    
setns01                        PASS       0    
setns02                        PASS       0    
setpgid01                      PASS       0    
setpgid02                      PASS       0    
setpgid03                      PASS       0    
setpgrp01                      PASS       0    
setpgrp02                      PASS       0    
setpriority01                  PASS       0    
setpriority02                  PASS       0    
setpriority03                  PASS       0    
setpriority04                  PASS       0    
setpriority05                  PASS       0    
setregid01                     PASS       0    
setregid01_16                  CONF       32   
setregid02                     PASS       0    
setregid02_16                  CONF       32   
setregid03                     PASS       0    
setregid03_16                  CONF       32   
setregid04                     PASS       0    
setregid04_16                  CONF       32   
setresgid01                    PASS       0    
setresgid01_16                 CONF       32   
setresgid02                    PASS       0    
setresgid02_16                 CONF       32   
setresgid03                    PASS       0    
setresgid03_16                 CONF       32   
setresgid04                    PASS       0    
setresgid04_16                 CONF       32   
setresuid01                    PASS       0    
setresuid01_16                 CONF       32   
setresuid02                    PASS       0    
setresuid02_16                 CONF       32   
setresuid03                    PASS       0    
setresuid03_16                 CONF       32   
setresuid04                    PASS       0    
setresuid04_16                 CONF       32   
setresuid05                    PASS       0    
setresuid05_16                 CONF       32   
setreuid01                     PASS       0    
setreuid01_16                  CONF       32   
setreuid02                     PASS       0    
setreuid02_16                  CONF       32   
setreuid03                     PASS       0    
setreuid03_16                  CONF       32   
setreuid04                     PASS       0    
setreuid04_16                  CONF       32   
setreuid05                     PASS       0    
setreuid05_16                  CONF       32   
setreuid06                     PASS       0    
setreuid06_16                  CONF       32   
setreuid07                     PASS       0    
setreuid07_16                  CONF       32   
setrlimit01                    FAIL       1    
setrlimit02                    PASS       0    
setrlimit03                    PASS       0    
set_robust_list01              PASS       0    
set_thread_area01              CONF       32   
set_tid_address01              PASS       0    
setsid01                       PASS       0    
setsockopt01                   PASS       0    
settimeofday01                 FAIL       1    
settimeofday02                 PASS       0    
setuid01                       PASS       0    
setuid01_16                    CONF       32   
setuid02                       PASS       0    
setuid02_16                    CONF       32   
setuid03                       PASS       0    
setuid03_16                    CONF       32   
setuid04                       PASS       0    
setuid04_16                    CONF       32   
setxattr01                     PASS       0    
setxattr02                     PASS       0    
setxattr03                     FAIL       6    
shmat01                        PASS       0    
shmat02                        PASS       0    
shmat03                        PASS       0    
shmctl01                       PASS       0    
shmctl02                       CONF       32   
shmctl03                       PASS       0    
shmctl04                       PASS       0    
shmdt01                        PASS       0    
shmdt02                        PASS       0    
shmget01                       PASS       0    
shmget02                       PASS       0    
shmget03                       PASS       0    
shmget04                       PASS       0    
shmget05                       PASS       0    
sigaction01                    PASS       0    
sigaction02                    PASS       0    
sigaltstack01                  PASS       0    
sigaltstack02                  PASS       0    
sighold02                      PASS       0    
signal01                       PASS       0    
signal02                       PASS       0    
signal03                       PASS       0    
signal04                       PASS       0    
signal05                       PASS       0    
signal06                       FAIL       11   
signalfd01                     FAIL       1    
signalfd4_01                   CONF       32   
signalfd4_02                   CONF       32   
sigpending02                   PASS       0    
sigprocmask01                  PASS       0    
sigrelse01                     PASS       0    
sigsuspend01                   PASS       0    
socket01                       PASS       0    
socket02                       PASS       0    
socket03                       PASS       0    
socketcall01                   PASS       0    
socketcall02                   PASS       0    
socketcall03                   PASS       0    
socketcall04                   PASS       0    
socketpair01                   PASS       0    
